filename,xmin,xmax,ymin,ymax
00000013_001.png,136,983,0,1010
00000013_002.png,0,1024,0,1024
00000013_004.png,54,901,81,1024
00000013_005.png,109,928,0,1024
00000013_010.png,136,983,81,983
00000013_011.png,81,983,0,873
00000013_012.png,0,1024,0,1024
00000013_013.png,0,1024,0,1024
00000013_018.png,136,983,81,1024
00000013_019.png,54,983,81,873
00000013_020.png,109,983,136,955
00000013_023.png,81,901,27,1024
00000013_030.png,136,955,163,1024
00000013_032.png,191,983,109,955
00000013_033.png,109,928,81,901
00000013_034.png,27,955,109,955
00000013_035.png,109,901,136,983
00000013_036.png,191,901,136,955
00000013_037.png,136,928,81,928
00000013_039.png,136,955,109,955
00000013_040.png,81,1010,81,955
00000023_004.png,163,846,136,873
00000032_002.png,0,1024,0,1024
00000032_010.png,163,846,27,464
00000032_026.png,0,1024,0,1024
00000032_038.png,0,1024,0,1024
00000032_056.png,0,737,109,819
00000038_007.png,54,983,54,1024
00000041_002.png,163,901,54,983
00000042_002.png,136,873,0,1024
00000042_003.png,136,901,27,1024
00000044_002.png,0,1024,0,1024
00000045_000.png,163,901,191,873
00000046_000.png,0,1024,0,1024
00000048_000.png,136,928,81,846
00000061_003.png,81,955,0,846
00000061_021.png,54,873,109,955
00000061_022.png,109,901,54,873
00000071_001.png,191,819,81,1010
00000071_007.png,191,791,109,846
00000073_005.png,136,846,136,928
00000075_000.png,0,1024,0,1024
00000091_000.png,54,983,81,1010
00000092_000.png,81,955,27,682
00000096_001.png,81,846,0,846
00000096_003.png,81,901,54,628
00000099_004.png,0,1024,0,1024
00000099_010.png,0,1024,0,1024
00000100_001.png,54,873,109,819
00000103_001.png,0,1024,0,1024
00000103_002.png,0,1024,0,1024
00000103_004.png,136,846,136,928
00000103_006.png,136,873,136,955
00000103_008.png,109,928,136,1024
00000103_010.png,163,901,136,901
00000109_002.png,0,1024,0,1024
00000110_000.png,81,928,163,764
00000115_000.png,109,928,163,873
00000116_011.png,0,1024,0,1024
00000116_021.png,0,1024,0,1024
00000116_028.png,0,1024,0,1024
00000116_036.png,0,1024,0,1024
00000118_002.png,81,846,136,928
00000118_003.png,109,901,109,928
00000118_004.png,109,928,109,983
00000118_005.png,136,928,54,901
00000118_009.png,163,983,0,1024
00000118_013.png,163,983,27,846
00000121_009.png,136,955,136,901
00000127_001.png,81,928,81,764
00000127_003.png,191,791,81,791
00000127_006.png,218,873,54,737
00000132_000.png,109,928,109,737
00000138_000.png,109,1010,109,737
00000143_001.png,191,873,81,846
00000143_011.png,191,873,109,901
